seed,time,first_solution,best_solution,iteration
1,299.95,4536382,8148233,86431
2,299.68,4422973,8155109,92877
3,299.97,4391326,8145950,97536
4,299.94,4452241,8154513,92707
5,299.75,4437663,8159294,92771
6,299.97,4365369,8149562,81936
7,299.47,4552863,8148726,81810
8,299.85,4529220,8153669,81926
9,299.99,4394873,8153522,86276
10,299.89,4481993,8148810,92809
