seed,time,first_solution,best_solution,iteration
1,299.99,148559101,199738286,49934
2,299.97,143425026,199636983,52380
3,299.98,145577121,199604739,49785
4,300.01,142260629,198506185,49771
5,300.01,141831184,198935189,49745
6,299.99,143316536,197926244,52331
7,299.99,139981026,199268440,51907
8,300.00,138811613,201980438,54499
9,300.00,142070477,199315235,52497
10,300.00,140335217,198156902,49586
