seed,time,first_solution,best_solution,iteration
1,5.00,30825138,32727755,2145
2,5.00,30857639,32706947,2108
3,5.00,30498205,32742669,2143
4,5.00,30270513,32700500,2147
5,5.00,30455220,32691728,2142
6,5.00,30248201,32695388,2107
7,5.00,31449929,32740956,2144
8,5.00,29841301,32708674,2039
9,5.00,30406141,32709916,2090
10,5.00,29969485,32668030,2112
