seed,time,first_solution,best_solution,iteration
1,7.53,584795,1028973,18706
2,38.81,588620,1033590,97243
3,34.54,565252,1031179,85760
4,10.58,579764,1029977,26883
5,12.37,569124,1025965,31756
6,15.52,590886,1030035,37952
7,8.03,614062,1029305,20067
8,16.33,572615,1030900,40429
9,12.47,545325,1029426,30618
10,11.52,590795,1031701,28138
