seed,time,first_solution,best_solution,iteration
1,5.00,8365066,10528682,3447
2,5.00,8335361,10638110,3588
3,5.00,8678278,10732673,3870
4,5.00,8698358,10455209,3675
5,5.00,8573323,10632758,3815
6,5.00,8679132,10618156,3571
7,5.00,8679350,10577113,3634
8,5.00,8460681,10584377,3444
9,5.00,8393013,10584766,3529
10,5.00,8879070,10690300,3541
