seed,time,first_solution,best_solution,iteration
1,4.96,584795,1028294,12534
2,4.98,588620,1026908,12551
3,4.97,565252,1026568,11845
4,4.75,579764,1029225,11973
5,4.85,569124,1024740,12445
6,4.98,590886,1026466,11594
7,4.94,614062,1027093,12351
8,4.87,572615,1029111,11766
9,4.98,545325,1028119,12402
10,4.98,590795,1029939,12307
