seed,time,first_solution,best_solution,iteration
1,300.00,19731838,46801116,85882
2,300.00,19643708,47940687,90336
3,299.97,19153875,47321068,85799
4,300.00,19306796,47936897,91207
5,299.98,19569912,47293301,85769
6,299.99,19711768,47483128,89881
7,300.00,19157858,47385458,85445
8,299.99,19182167,47378345,86038
9,299.99,19693877,47507299,90198
10,300.00,18813087,47464696,85772
