seed,time,first_solution,best_solution,iteration
1,299.92,5033167,8486350,140275
2,299.79,4908735,8482344,134811
3,299.96,5057416,8497406,142223
4,299.60,5051443,8527698,133538
5,299.96,4985338,8487934,141029
6,299.86,5034974,8479806,133951
7,299.75,5090217,8483132,141073
8,299.87,4997359,8497268,133914
9,299.90,5059502,8455459,135058
10,299.99,5010493,8456195,140750
