seed,time,first_solution,best_solution,iteration
1,299.99,18739918,28538773,41765
2,300.00,18358900,28678339,43873
3,299.98,18366464,28626378,47342
4,299.95,18169336,28590283,41692
5,300.00,18633901,28661124,41636
6,299.99,18184349,28633242,49756
7,300.00,18410090,28576307,41849
8,299.99,18317501,28612111,47257
9,300.01,18466860,28684278,49805
10,299.98,18543440,28562548,47330
