seed,time,first_solution,best_solution,iteration
1,299.99,34283433,46469699,56440
2,299.97,34579214,46621650,59220
3,299.93,34623323,46881171,56477
4,299.94,34348214,46680885,59297
5,300.00,34977732,46999159,56440
6,300.00,35015831,46546559,54385
7,299.98,34856926,46615219,56427
8,299.99,34730366,46650902,56534
9,299.99,34036419,46739883,56614
10,300.00,34630373,46444151,56195
