seed,time,first_solution,best_solution,iteration
1,5.00,148559101,153428933,846
2,5.01,143425026,151583683,806
3,5.00,145577121,154916464,820
4,5.00,142260629,153653872,810
5,5.00,141831184,154050735,848
6,5.00,143316536,151732937,814
7,5.00,139981026,155309838,928
8,5.00,138811613,152148900,929
9,5.00,142070477,148452745,802
10,5.00,140335217,148302887,808
