seed,time,first_solution,best_solution,iteration
1,5.00,19731838,21146921,1408
2,5.00,19643708,21091731,1324
3,5.00,19153875,21153819,1412
4,5.00,19306796,21180672,1386
5,5.00,19569912,21757894,1424
6,5.00,19711768,21450941,1419
7,5.00,19157858,20992600,1423
8,5.00,19182167,21164734,1444
9,5.00,19693877,21042089,1407
10,5.00,18813087,20950641,1342
