seed,time,first_solution,best_solution,iteration
1,270.22,30825138,42116533,111385
2,290.60,30857639,42160514,125695
3,296.25,30498205,42139906,121436
4,267.94,30270513,42164564,116060
5,299.95,30455220,42116754,129753
6,291.70,30248201,42335459,119642
7,299.58,31449929,42400406,130157
8,280.83,29841301,42239658,115783
9,298.68,30406141,42229844,128667
10,291.81,29969485,42164028,119828
