seed,time,first_solution,best_solution,iteration
1,298.75,17936657,34027519,83834
2,299.83,17594923,34052495,89482
3,299.96,18136053,34020750,87907
4,299.61,18058210,34053190,88118
5,299.96,18496781,34042197,83421
6,299.65,17748192,34019310,94228
7,299.99,17596147,34042484,84162
8,299.94,17990859,33977466,94409
9,299.58,17512814,34016552,89308
10,299.98,18760958,34006148,83743
