seed,time,first_solution,best_solution,iteration
1,5.00,34283433,36539855,977
2,5.00,34579214,36635814,1010
3,5.00,34623323,36720309,964
4,5.00,34348214,36556119,988
5,5.00,34977732,36547029,969
6,5.00,35015831,36841674,882
7,5.00,34856926,36807310,970
8,5.00,34730366,36809918,988
9,5.00,34036419,36544937,948
10,5.00,34630373,36721518,1011
