seed,time,first_solution,best_solution,iteration
1,5.00,4536382,5569344,1406
2,5.00,4422973,5672607,1561
3,5.00,4391326,5772696,1657
4,5.00,4452241,5599434,1576
5,5.00,4437663,5726337,1655
6,5.00,4365369,5455496,1338
7,5.00,4552863,5569104,1417
8,5.00,4529220,5505590,1356
9,5.00,4394873,5455772,1426
10,5.00,4481993,5660590,1574
