seed,time,first_solution,best_solution,iteration
1,5.01,18739918,19751150,686
2,5.00,18358900,19997169,711
3,5.00,18366464,19938833,794
4,5.01,18169336,19641301,715
5,5.00,18633901,19617156,665
6,5.01,18184349,19785247,803
7,5.00,18410090,19495598,720
8,5.01,18317501,19942604,763
9,5.01,18466860,19897682,774
10,5.00,18543440,20091430,798
