seed,time,first_solution,best_solution,iteration
1,96.62,8365066,11853945,72132
2,121.44,8335361,11861678,90572
3,157.21,8678278,11875160,117587
4,289.53,8698358,11828269,225592
5,106.06,8573323,11874074,79539
6,128.72,8679132,11866819,95326
7,110.30,8679350,11881864,82425
8,81.66,8460681,11851639,60989
9,89.55,8393013,11841246,66628
10,115.07,8879070,11877164,86412
