seed,time,first_solution,best_solution,iteration
1,5.00,17936657,22184857,1374
2,5.00,17594923,23148298,1533
3,5.00,18136053,23215627,1371
4,5.00,18058210,21204230,1387
5,5.00,18496781,21998242,1390
6,5.00,17748192,23119915,1504
7,5.00,17596147,22546044,1386
8,5.00,17990859,22487963,1537
9,5.00,17512814,22955253,1490
10,5.00,18760958,22338579,1342
